scene,source_id,target_id,method,initial_rmse_m,rre_deg,rte_m,rmse_m,mean_nn_distance_m,mean_euclidean_distance_m,mean_abs_point_to_plane_error_m,iterations,runtime_s
7-scenes-redkitchen,10,3,point_to_plane,0.1847724572170967,1.2995502648138875,0.03863868876816912,0.030042543712281433,0.39813777798387706,0.39813777798387706,0.019493930745806843,14,0.09557750000385568
7-scenes-redkitchen,10,3,point_to_point,0.1847724572170967,29.936785370310808,1.2072234080416546,1.0610020582762785,0.19429859143076553,0.19427663889523974,nan,38,0.3023080000129994
7-scenes-redkitchen,11,3,point_to_plane,0.20687576384216838,1.2529315764020772,0.02052029685533898,0.024686710961276778,0.2665117438346308,0.2665117438346308,0.014698260675174083,9,0.05761670001083985
7-scenes-redkitchen,11,3,point_to_point,0.20687576384216838,37.10145132702854,0.7152988864727734,0.9305248188504558,0.18408960784311185,0.1840847829047501,nan,50,0.40474309999262914
7-scenes-redkitchen,12,3,point_to_plane,0.06834786305741855,1.3361551350929028,0.024588241158343464,0.01918209718418649,0.06098547533008993,0.06098547533008993,0.012564119059140613,13,0.07490680000046268
7-scenes-redkitchen,12,3,point_to_point,0.06834786305741855,5.654128581683543,0.08362775983083166,0.14836422075924227,0.07641295365636196,0.07639934167826666,nan,43,0.24405849998584017
7-scenes-redkitchen,13,3,point_to_plane,0.29680989344310116,1.7401400746764502,0.035598870356922885,0.02471834822498598,0.033334868719159735,0.033334868719159735,0.012264270931471855,12,0.06697869999334216
7-scenes-redkitchen,13,3,point_to_point,0.29680989344310116,1.8453080427235635,0.04252795958470805,0.04026658824223731,0.03607994109031278,0.036064985329216134,nan,28,0.1304085000010673
7-scenes-redkitchen,14,3,point_to_plane,0.19421693595126402,2.8992970662488826,0.04863085688950284,0.04104727651066868,0.0586752119304572,0.0586752119304572,0.012961458059976247,9,0.045588400011183694
7-scenes-redkitchen,14,3,point_to_point,0.19421693595126402,6.826340809738697,0.09275636893781306,0.16676387529751152,0.07222807812081314,0.07221193973748297,nan,34,0.16223829999216832
7-scenes-redkitchen,26,3,point_to_plane,0.1586844258020248,2.796822261320472,0.08844529619042368,0.06389565322499843,0.4161009152210942,0.4161009152210942,0.022830146194436754,14,0.11647229999653064
7-scenes-redkitchen,26,3,point_to_point,0.1586844258020248,36.154867474335994,1.680273603987125,1.2250221844237992,0.19323723121799377,0.19355738649605128,nan,50,0.48415019997628406
7-scenes-redkitchen,27,3,point_to_plane,0.16837723459502676,2.5283114207816255,0.062199412126497974,0.051501546179861746,0.12921759767919763,0.12921759767919763,0.028754096688468195,10,0.09578099998179823
7-scenes-redkitchen,27,3,point_to_point,0.16837723459502676,1.8912107122458406,0.14176157393591368,0.17666986825253933,0.13644193272665767,0.13637618179372119,nan,33,0.3026164000038989
7-scenes-redkitchen,28,3,point_to_plane,0.18235258068303042,2.588016584520321,0.06929771148728411,0.03584293346173995,0.12201192131303493,0.12201192131303493,0.024837878125150314,14,0.10879239998757839
7-scenes-redkitchen,28,3,point_to_point,0.18235258068303042,10.003225084877515,0.18293903000913747,0.29302607795171404,0.11993877900884571,0.1198902259214761,nan,34,0.2550303000025451
7-scenes-redkitchen,29,3,point_to_plane,0.09547828739364476,1.9889809199935402,0.03993221736956532,0.016794883084488607,0.09086613886209065,0.09086613886209065,0.019856175883690937,15,0.09051690000342205
7-scenes-redkitchen,29,3,point_to_point,0.09547828739364476,9.198024971087152,0.10789261976853456,0.25007886872358753,0.09151477074368573,0.09148507942189697,nan,47,0.2718841999885626
7-scenes-redkitchen,30,3,point_to_plane,0.2614707617351636,3.6506729418892916,0.08749058667916522,0.14320664512185943,0.13416297895084756,0.13416297895084756,0.01955713659289069,50,0.23717469998518936
7-scenes-redkitchen,30,3,point_to_point,0.2614707617351636,4.369312875467775,0.6996685586607047,0.7073623699807476,0.09693878933779314,0.09691745371016645,nan,50,0.24692860001232475
7-scenes-redkitchen,40,3,point_to_plane,0.26989580407281294,2.4068314519149134,0.12485761271567547,0.06170203095028325,0.17101635958270095,0.17101635958270095,0.019437689971149915,15,0.12262159999227151
7-scenes-redkitchen,40,3,point_to_point,0.26989580407281294,19.59741494074316,0.5044501065584523,0.42851045661626974,0.17409533347342573,0.17410675067493767,nan,46,0.4207022000045981
7-scenes-redkitchen,41,3,point_to_plane,0.16566868380372549,1.6836901513290359,0.07488549718829426,0.057637781068935544,0.1759673583310527,0.1759673583310527,0.017999850560832965,50,0.36834780001663603
7-scenes-redkitchen,41,3,point_to_point,0.16566868380372549,16.98487596201051,0.3040244748369855,0.5264093043714551,0.16348245735509562,0.16349885103601663,nan,50,0.45851530000800267
7-scenes-redkitchen,42,3,point_to_plane,0.31181899103631927,1.783337669976032,0.054360288449264195,0.058155980514177474,0.10581675839072541,0.10581675839072541,0.019096875274434412,13,0.08654550000210293
7-scenes-redkitchen,42,3,point_to_point,0.31181899103631927,6.914156383802858,0.012939926137344552,0.27984407883165835,0.10528417641391843,0.10528455920783587,nan,34,0.21665889999712817
7-scenes-redkitchen,43,3,point_to_plane,0.22570800397658397,2.109657068481045,0.041974176886077484,0.04145400744939546,0.07532343439262405,0.07532343439262405,0.019502329340402125,14,0.10836009998456575
7-scenes-redkitchen,43,3,point_to_point,0.22570800397658397,4.734777929289964,0.01960508513369243,0.16619595626102845,0.07795872124212519,0.0779661272090796,nan,45,0.22766870001214556
7-scenes-redkitchen,44,3,point_to_plane,0.2208842480029217,2.3108963067640884,0.028880775914348348,0.02866365348875164,0.05779206692605061,0.05779206692605061,0.019460191358204957,50,0.2674506999901496
7-scenes-redkitchen,44,3,point_to_point,0.2208842480029217,4.356161086247128,0.05190163754526412,0.09041331077436686,0.061848994555784166,0.061853269611724666,nan,19,0.0856060000078287
7-scenes-redkitchen,45,3,point_to_plane,0.14695225587205343,3.2679091916829917,0.038348806022226414,0.042869080173093606,0.09528875311701848,0.09528875311701848,0.022846899227639245,50,0.24557889997959137
7-scenes-redkitchen,45,3,point_to_point,0.14695225587205343,7.86577023908156,0.3086699677080595,0.261313497587482,0.10400920656645062,0.10400937221783413,nan,47,0.1919929999858141
7-scenes-redkitchen,5,4,point_to_plane,0.15308478293680455,0.6040182622165443,0.030710474441355235,0.01361434129402381,0.06567124341393946,0.06567124341393946,0.014085336556209383,10,0.06726020001224242
